Token,Tag
Abraham,B-PER
Roder,I-PER
Samuel,B-PER
Schnyder,I-PER
.,O
Zunach,O
dem,O
Samuel,B-PER
Schnyder,I-PER
etlich,O
verwichnen,O
sich,O
im,O
alhier,O
by,O
dem,O
verwallter,O
wie,O
das,O
er,O
vonn,O
seinem,O
gesellen,O
Abraham,B-PER
Roder,I-PER
zu,O
nacht,O
ihrer,O
ruh,O
übel,O
geplagt,O
inn,O
der,O
Roder,B-PER
ihmme,O
Schnyder,B-PER
seine,O
:sat,O
:,O
),O
inn,O
den,O
hinderen,O
lyb,O
gestoßen,O
habe,O
Hat,O
selbiger,O
verwallter,O
seiner,O
pflicht,O
nit,O
underlaßen,O
n,O
sölliche,O
den,O
herren,O
directoren,O
anzezeigen,O
daruff,O
der,O
sach,O
eigentlicher,O
unnd,O
die,O
beide,O
etliche,O
mahl,O
für,O
sich,O
bescheiden,O
:,O
unnd,O
ernsthafftig,O
dan,O
die,O
leidige,O
that,O
bekent,O
mit,O
den,O
wie,O
uß,O
der,O
uß,O
dem,O
weysenhaus,O
vergicht,O
zu,O
so,O
allso,O
luthet,O
Samuel,B-PER
Schnyder,I-PER
(,O
:der,O
h,O
.,O
zwentzig,O
järigen,O
allters,O
unnd,O
ein,O
thor,O
:,O
),O
daß,O
vor,O
vierzechen,O
da,O
nachts,O
inn,O
seinem,O
by,O
Abraham,B-PER
Roder,B-PER
an,O
seiner,O
rechten,O
syten,O
schlaffend,O
gelegen,O
habe,O
er,O
Roder,B-PER
ihnne,O
mit,O
dem,O
einen,O
mit,O
syner,O
ruthen,O
dem,O
Schnyder,B-PER
inn,O
seinen,O
hinderen,O
lyb,O
er,O
erwachet,O
unnd,O
etwas,O
schmertzent,O
empfunden,O
.,O
Darüber,O
er,O
Schnyder,B-PER
ihme,O
Roder,B-PER
unnd,O
begehrt,O
das,O
er,O
ihnne,O
mit,O
friden,O
der,O
aber,O
nit,O
biß,O
etwas,O
von,O
ihmme,O
gangen,O
Unnd,O
er,O
Schnyder,B-PER
sich,O
uff,O
den,O
gewendt,O
.,O
Dißelliche,O
that,O
Roder,B-PER
by,O
fünff,O
mahlen,O
mit,O
Schnyder,B-PER
verübt,O
unnd,O
jederwylen,O
den,O
anfang,O
unnd,O
wan,O
er,O
Schnyder,O
geschlaffen,O
.,O
Abraham,B-PER
Roder,I-PER
der,O
auch,O
ein,O
unnd,O
by,O
24,O
jaren,O
allt,O
:,O
daß,O
vor,O
vierzechen,O
da,O
er,O
by,O
dem,O
gedachten,O
Samuel,B-PER
Schnyder,I-PER
synem,O
gesellen,O
umb,O
mitternachts,O
da,O
Schnyder,B-PER
er,O
Roder,B-PER
seiner,O
ruthen,O
ihmme,O
Schnyder,I-PER
inn,O
den,O
lyb,O
gefahren,O
sölliches,O
so,O
lang,O
biß,O
er,O
da,O
habe,O
er,O
Schnyder,B-PER
unnd,O
er,O
Roder,B-PER
es,O
söllche,O
that,O
habe,O
er,O
by,O
fünff,O
begangen,O
unnd,O
allemahl,O
wan,O
er,O
Schnyder,O
geschlaffen,O
den,O
anfang,O
.,O
Über,O
diß,O
bekent,O
er,O
auch,O
daß,O
er,O
vor,O
ohngefahrlichen,O
dreyen,O
by,O
Gabriel,B-PER
Herrman,I-PER
(,O
so,O
ietz,O
by,O
jaren,O
seines,O
handwercks,O
ein,O
),O
inn,O
einem,O
beth,O
understanden,O
unnd,O
mit,O
seiner,O
dem,O
Herrman,B-PER
inn,O
seinem,O
zwüschen,O
den,O
(,O
u,O
),O
beinen,O
darüber,O
er,O
Herrman,B-PER
uß,O
seinem,O
mit,O
den,O
neglen,O
den,O
Roder,B-PER
an,O
seiner,O
ruthen,O
daß,O
er,O
weißen,O
oder,O
sich,O
übelgehaben,O
seye,O
mit,O
disem,O
glyd,O
ihnen,O
Hermann,B-PER
inn,O
den,O
lyb,O
habe,O
es,O
hernach,O
ihmme,O
nit,O
mehr,O
auch,O
deß,O
daruff,O
ervollgeten,O
morgens,O
diser,O
that,O
halber,O
streichen,O
.,O
Worüber,O
dan,O
auch,O
der,O
gemelte,O
Herrman,B-PER
berufft,O
der,O
uff,O
ernsthafftiges,O
befragen,O
hin,O
:,O
daß,O
vor,O
ohngefahr,O
da,O
er,O
by,O
dem,O
gedachten,O
Roder,B-PER
einem,O
uff,O
einer,O
schlaffend,O
er,O
Roder,B-PER
mit,O
seiner,O
Herrman,B-PER
zwüschen,O
den,O
beinen,O
durch,O
darvon,O
er,O
ihnne,O
Roder,B-PER
unnd,O
mit,O
den,O
neglen,O
an,O
der,O
ruthen,O
das,O
er,O
weißen,O
.,O
Vonn,O
zytt,O
an,O
er,O
nit,O
mehr,O
by,O
